Reloj: Tiempo,Pedido: Pedido,Tipo de producto: Tipo de producto,Estado: Estado,Local: Local,Repartidor: Repartidor
Order 1 generated, starting time: 1
Rider 283 generated, address(x,y): 4,7
Rider 284 generated, address(x,y): 4,4
Rider 285 generated, address(x,y): 4,5
Rider 286 generated, address(x,y): 3,4
Rider 287 generated, address(x,y): 4,3
Rider 288 generated, address(x,y): 4,4
Rider 289 generated, address(x,y): 3,5
Rider 290 generated, address(x,y): 1,4
Rider 291 generated, address(x,y): 4,5
Rider 292 generated, address(x,y): 3,4
Rider 293 generated, address(x,y): 1,4
Rider 294 generated, address(x,y): 2,2
Rider 295 generated, address(x,y): 1,1
Rider 296 generated, address(x,y): 2,1
Rider 297 generated, address(x,y): 4,4
Rider 298 generated, address(x,y): 3,5
Rider 299 generated, address(x,y): 4,6
Rider 300 generated, address(x,y): 4,7
Reloj: 1,Pedido: 1,Tipo de producto: Orden completa,Estado: Asignado,Local: 1,Repartidor: No asignado
Reloj: 1,Pedido: 1,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 1,Repartidor: Asignado
Reloj: 1,Pedido: 1,Tipo de producto: Orden completa,Estado: Asignado,Local: 1,Repartidor: Asignado a rider: 39
Reloj: 2,Pedido: 2,Tipo de producto: Orden completa,Estado: Asignado,Local: 2,Repartidor: No asignado
Reloj: 2,Pedido: 2,Tipo de producto: Orden completa,Estado: Asignado,Local: 2,Repartidor: Asignado a rider: 13
Reloj: 2,Pedido: 2,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 2,Repartidor: Asignado
Reloj: 2,Pedido: 1,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 1,Repartidor: Asignado
Reloj: 2,Pedido: 1,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 1,Repartidor: Asignado
Reloj: 2,Pedido: 1,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 1,Repartidor: Asignado
Reloj: 3,Pedido: 3,Tipo de producto: Orden completa,Estado: Asignado,Local: 3,Repartidor: No asignado
Reloj: 3,Pedido: 3,Tipo de producto: Orden completa,Estado: Asignado,Local: 3,Repartidor: Asignado a rider: 17
Reloj: 3,Pedido: 2,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 2,Repartidor: Asignado
Reloj: 3,Pedido: 2,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 2,Repartidor: Asignado
Reloj: 4,Pedido: 3,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 3,Repartidor: Asignado
Reloj: 4,Pedido: 4,Tipo de producto: Orden completa,Estado: Asignado,Local: 7,Repartidor: No asignado
Reloj: 4,Pedido: 4,Tipo de producto: Orden completa,Estado: Asignado,Local: 7,Repartidor: Asignado a rider: 15
Reloj: 5,Pedido: 3,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 3,Repartidor: Asignado
Reloj: 5,Pedido: 3,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 3,Repartidor: Asignado
Reloj: 5,Pedido: 4,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 7,Repartidor: Asignado
Reloj: 5,Pedido: 5,Tipo de producto: Orden completa,Estado: Asignado,Local: 4,Repartidor: No asignado
Reloj: 5,Pedido: 5,Tipo de producto: Orden completa,Estado: Asignado,Local: 4,Repartidor: Asignado a rider: 4
Reloj: 6,Pedido: 5,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 4,Repartidor: Asignado
Reloj: 6,Pedido: 4,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 7,Repartidor: Asignado
Reloj: 6,Pedido: 4,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 7,Repartidor: Asignado
Reloj: 6,Pedido: 6,Tipo de producto: Orden completa,Estado: Asignado,Local: 8,Repartidor: No asignado
Reloj: 6,Pedido: 6,Tipo de producto: Orden completa,Estado: Asignado,Local: 8,Repartidor: Asignado a rider: 3
Reloj: 7,Pedido: 6,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 8,Repartidor: Asignado
Reloj: 7,Pedido: 7,Tipo de producto: Orden completa,Estado: Asignado,Local: 1,Repartidor: No asignado
Reloj: 7,Pedido: 7,Tipo de producto: Orden completa,Estado: Asignado,Local: 1,Repartidor: Asignado a rider: 1
Reloj: 7,Pedido: 5,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 4,Repartidor: Asignado
Reloj: 7,Pedido: 5,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 4,Repartidor: Asignado
Reloj: 8,Pedido: 7,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 1,Repartidor: Asignado
Reloj: 8,Pedido: 8,Tipo de producto: Orden completa,Estado: Asignado,Local: 9,Repartidor: No asignado
Reloj: 8,Pedido: 8,Tipo de producto: Orden completa,Estado: Asignado,Local: 9,Repartidor: Asignado a rider: 9
Reloj: 8,Pedido: 6,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 8,Repartidor: Asignado
Reloj: 8,Pedido: 6,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 8,Repartidor: Asignado
Reloj: 8,Pedido: 8,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 9,Repartidor: Asignado
Reloj: 9,Pedido: 9,Tipo de producto: Orden completa,Estado: Asignado,Local: 10,Repartidor: No asignado
Reloj: 9,Pedido: 9,Tipo de producto: Orden completa,Estado: Asignado,Local: 10,Repartidor: Asignado a rider: 34
Reloj: 9,Pedido: 8,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 9,Repartidor: Asignado
Reloj: 9,Pedido: 8,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 9,Repartidor: Asignado
Reloj: 9,Pedido: 7,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 1,Repartidor: Asignado
Reloj: 9,Pedido: 7,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 1,Repartidor: Asignado
Reloj: 9,Pedido: 7,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 1,Repartidor: Asignado
Reloj: 10,Pedido: 9,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 10,Repartidor: Asignado
Reloj: 10,Pedido: 10,Tipo de producto: Orden completa,Estado: Asignado,Local: 5,Repartidor: No asignado
Reloj: 10,Pedido: 10,Tipo de producto: Orden completa,Estado: Asignado,Local: 5,Repartidor: Asignado a rider: 118
Reloj: 11,Pedido: 11,Tipo de producto: Orden completa,Estado: Asignado,Local: 3,Repartidor: No asignado
Reloj: 11,Pedido: 11,Tipo de producto: Orden completa,Estado: Asignado,Local: 3,Repartidor: Asignado a rider: 224
Reloj: 11,Pedido: 10,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 5,Repartidor: Asignado
Reloj: 11,Pedido: 11,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 3,Repartidor: Asignado
Reloj: 11,Pedido: 9,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 10,Repartidor: Asignado
Reloj: 11,Pedido: 9,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 10,Repartidor: Asignado
Reloj: 12,Pedido: 10,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 5,Repartidor: Asignado
Reloj: 12,Pedido: 10,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 5,Repartidor: Asignado
Reloj: 12,Pedido: 11,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 3,Repartidor: Asignado
Reloj: 12,Pedido: 11,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 3,Repartidor: Asignado
Reloj: 12,Pedido: 12,Tipo de producto: Orden completa,Estado: Asignado,Local: 7,Repartidor: No asignado
Reloj: 12,Pedido: 12,Tipo de producto: Orden completa,Estado: Asignado,Local: 7,Repartidor: Asignado a rider: 32
Reloj: 13,Pedido: 13,Tipo de producto: Orden completa,Estado: Asignado,Local: 4,Repartidor: No asignado
Reloj: 13,Pedido: 13,Tipo de producto: Orden completa,Estado: Asignado,Local: 4,Repartidor: Asignado a rider: 189
Reloj: 13,Pedido: 12,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 7,Repartidor: Asignado
Reloj: 13,Pedido: 13,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 4,Repartidor: Asignado
Reloj: 14,Pedido: 12,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 7,Repartidor: Asignado
Reloj: 14,Pedido: 12,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 7,Repartidor: Asignado
Reloj: 14,Pedido: 14,Tipo de producto: Orden completa,Estado: Asignado,Local: 8,Repartidor: No asignado
Reloj: 14,Pedido: 14,Tipo de producto: Orden completa,Estado: Asignado,Local: 8,Repartidor: Asignado a rider: 134
Reloj: 14,Pedido: 14,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 8,Repartidor: Asignado
Reloj: 14,Pedido: 13,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 4,Repartidor: Asignado
Reloj: 14,Pedido: 13,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 4,Repartidor: Asignado
Reloj: 15,Pedido: 14,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 8,Repartidor: Asignado
Reloj: 15,Pedido: 14,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 8,Repartidor: Asignado
Reloj: 15,Pedido: 15,Tipo de producto: Orden completa,Estado: Asignado,Local: 10,Repartidor: No asignado
Reloj: 15,Pedido: 15,Tipo de producto: Orden completa,Estado: Asignado,Local: 10,Repartidor: Asignado a rider: 6
Reloj: 16,Pedido: 15,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 10,Repartidor: Asignado
Reloj: 16,Pedido: 16,Tipo de producto: Orden completa,Estado: Asignado,Local: 9,Repartidor: No asignado
Reloj: 16,Pedido: 16,Tipo de producto: Orden completa,Estado: Asignado,Local: 9,Repartidor: Asignado a rider: 16
Reloj: 16,Pedido: 16,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 9,Repartidor: Asignado
Reloj: 17,Pedido: 16,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 9,Repartidor: Asignado
Reloj: 17,Pedido: 16,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 9,Repartidor: Asignado
Reloj: 17,Pedido: 17,Tipo de producto: Orden completa,Estado: Asignado,Local: 6,Repartidor: No asignado
Reloj: 17,Pedido: 17,Tipo de producto: Orden completa,Estado: Asignado,Local: 6,Repartidor: Asignado a rider: 10
Reloj: 17,Pedido: 15,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 10,Repartidor: Asignado
Reloj: 17,Pedido: 15,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 10,Repartidor: Asignado
Reloj: 18,Pedido: 17,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 6,Repartidor: Asignado
Reloj: 18,Pedido: 18,Tipo de producto: Orden completa,Estado: Asignado,Local: 1,Repartidor: No asignado
Reloj: 18,Pedido: 18,Tipo de producto: Orden completa,Estado: Asignado,Local: 1,Repartidor: Asignado a rider: 30
Reloj: 18,Pedido: 18,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 1,Repartidor: Asignado
Reloj: 19,Pedido: 19,Tipo de producto: Orden completa,Estado: Asignado,Local: 2,Repartidor: No asignado
Reloj: 19,Pedido: 19,Tipo de producto: Orden completa,Estado: Asignado,Local: 2,Repartidor: Asignado a rider: 40
Reloj: 19,Pedido: 17,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 6,Repartidor: Asignado
Reloj: 19,Pedido: 17,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 6,Repartidor: Asignado
Reloj: 19,Pedido: 18,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 1,Repartidor: Asignado
Reloj: 19,Pedido: 18,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 1,Repartidor: Asignado
Reloj: 20,Pedido: 19,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 2,Repartidor: Asignado
Reloj: 20,Pedido: 20,Tipo de producto: Orden completa,Estado: Asignado,Local: 5,Repartidor: No asignado
Reloj: 20,Pedido: 20,Tipo de producto: Orden completa,Estado: Asignado,Local: 5,Repartidor: Asignado a rider: 139
Reloj: 21,Pedido: 20,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 5,Repartidor: Asignado
Reloj: 21,Pedido: 21,Tipo de producto: Orden completa,Estado: Asignado,Local: 3,Repartidor: No asignado
Reloj: 21,Pedido: 21,Tipo de producto: Orden completa,Estado: Asignado,Local: 3,Repartidor: Asignado a rider: 11
Reloj: 21,Pedido: 19,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 2,Repartidor: Asignado
Reloj: 21,Pedido: 19,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 2,Repartidor: Asignado
Reloj: 22,Pedido: 22,Tipo de producto: Orden completa,Estado: Asignado,Local: 7,Repartidor: No asignado
Reloj: 22,Pedido: 22,Tipo de producto: Orden completa,Estado: Asignado,Local: 7,Repartidor: Asignado a rider: 37
Reloj: 22,Pedido: 22,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 7,Repartidor: Asignado
Reloj: 22,Pedido: 20,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 5,Repartidor: Asignado
Reloj: 22,Pedido: 20,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 5,Repartidor: Asignado
Reloj: 22,Pedido: 21,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 3,Repartidor: Asignado
Reloj: 23,Pedido: 22,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 7,Repartidor: Asignado
Reloj: 23,Pedido: 22,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 7,Repartidor: Asignado
Reloj: 23,Pedido: 23,Tipo de producto: Orden completa,Estado: Asignado,Local: 8,Repartidor: No asignado
Reloj: 23,Pedido: 23,Tipo de producto: Orden completa,Estado: Asignado,Local: 8,Repartidor: Asignado a rider: 159
Reloj: 23,Pedido: 21,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 3,Repartidor: Asignado
Reloj: 23,Pedido: 21,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 3,Repartidor: Asignado
Reloj: 24,Pedido: 23,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 8,Repartidor: Asignado
Reloj: 24,Pedido: 24,Tipo de producto: Orden completa,Estado: Asignado,Local: 4,Repartidor: No asignado
Reloj: 24,Pedido: 24,Tipo de producto: Orden completa,Estado: Asignado,Local: 4,Repartidor: Asignado a rider: 233
Reloj: 25,Pedido: 23,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 8,Repartidor: Asignado
Reloj: 25,Pedido: 24,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 4,Repartidor: Asignado
Reloj: 25,Pedido: 23,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 8,Repartidor: Asignado
Reloj: 25,Pedido: 25,Tipo de producto: Orden completa,Estado: Asignado,Local: 6,Repartidor: No asignado
Reloj: 25,Pedido: 25,Tipo de producto: Orden completa,Estado: Asignado,Local: 6,Repartidor: Asignado a rider: 27
Reloj: 26,Pedido: 24,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 4,Repartidor: Asignado
Reloj: 26,Pedido: 24,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 4,Repartidor: Asignado
Reloj: 26,Pedido: 26,Tipo de producto: Orden completa,Estado: Asignado,Local: 10,Repartidor: No asignado
Reloj: 26,Pedido: 26,Tipo de producto: Orden completa,Estado: Asignado,Local: 10,Repartidor: Asignado a rider: 18
Reloj: 26,Pedido: 25,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 6,Repartidor: Asignado
Reloj: 27,Pedido: 27,Tipo de producto: Orden completa,Estado: Asignado,Local: 2,Repartidor: No asignado
Reloj: 27,Pedido: 27,Tipo de producto: Orden completa,Estado: Asignado,Local: 2,Repartidor: Asignado a rider: 54
Reloj: 27,Pedido: 25,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 6,Repartidor: Asignado
Reloj: 27,Pedido: 25,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 6,Repartidor: Asignado
Reloj: 27,Pedido: 26,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 10,Repartidor: Asignado
Reloj: 27,Pedido: 27,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 2,Repartidor: Asignado
Reloj: 28,Pedido: 28,Tipo de producto: Orden completa,Estado: Asignado,Local: 5,Repartidor: No asignado
Reloj: 28,Pedido: 28,Tipo de producto: Orden completa,Estado: Asignado,Local: 5,Repartidor: Asignado a rider: 175
Reloj: 28,Pedido: 27,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 2,Repartidor: Asignado
Reloj: 28,Pedido: 27,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 2,Repartidor: Asignado
Reloj: 28,Pedido: 28,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 5,Repartidor: Asignado
Reloj: 28,Pedido: 26,Tipo de producto: CONFITERIA,Estado: Comenz? a prepararse,Local: 10,Repartidor: Asignado
Reloj: 28,Pedido: 26,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 10,Repartidor: Asignado
Reloj: 29,Pedido: 29,Tipo de producto: Orden completa,Estado: Asignado,Local: 9,Repartidor: No asignado
Reloj: 29,Pedido: 29,Tipo de producto: Orden completa,Estado: Asignado,Local: 9,Repartidor: Asignado a rider: 26
Reloj: 29,Pedido: 28,Tipo de producto: PIZZERIA,Estado: Comenz? a prepararse,Local: 5,Repartidor: Asignado
Reloj: 29,Pedido: 28,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 5,Repartidor: Asignado
Reloj: 29,Pedido: 29,Tipo de producto: Orden completa,Estado: Asignada a cocinero(s),Local: 9,Repartidor: Asignado
Reloj: 30,Pedido: 29,Tipo de producto: ROTISERIA,Estado: Comenz? a prepararse,Local: 9,Repartidor: Asignado
Reloj: 30,Pedido: 29,Tipo de producto: Orden completa,Estado: Esperando repartidor,Local: 9,Repartidor: Asignado
Reloj: 30,Pedido: 30,Tipo de producto: Orden completa,Estado: Asignado,Local: 1,Repartidor: No asignado
Reloj: 30,Pedido: 30,Tipo de producto: Orden completa,Estado: Asignado,Local: 1,Repartidor: Asignado a rider: 84
